time_s,torso_roll_rad,torso_pitch_rad,torso_angular_velocity_world_x_radps,torso_angular_velocity_world_y_radps,torso_height_world_m,left_pos_error_m,right_pos_error_m,gait_frequency_hz,gait_phase,gait_sin,gait_cos,gait_sin_right,gait_cos_right,base_command_x_mps,base_command_y_mps,base_command_yaw_radps
14.86,0.04458973057249541,0.010619793852151905,-0.09494686871767044,-0.20784644782543182,0.8205073475837708,0.05049961432814598,0.05929050222039223,1.0,0.8599996644991714,-0.7705146074295044,0.6374223828315735,0.7705146670341492,-0.6374223232269287,0.30000001192092896,0.0,0.0
14.88,0.04398514723196619,0.006792941637221926,0.0060012792237102985,-0.18114948272705078,0.8207744359970093,0.050091616809368134,0.06036124378442764,1.0,0.8800001309528757,-0.6845465302467346,0.7289692163467407,0.6845466494560242,-0.7289690971374512,0.30000001192092896,0.0,0.0
14.9,0.0451380379902399,0.0034075317796618486,0.07791601121425629,-0.16505853831768036,0.8212905526161194,0.0500430092215538,0.06123947352170944,1.0,0.8999996070766019,-0.5877872705459595,0.8090155720710754,0.5877870321273804,-0.8090157508850098,0.30000001192092896,0.0,0.0
14.92,0.04740616906687632,0.00021352625498749926,0.12050993740558624,-0.1605212539434433,0.8217625617980957,0.05045895650982857,0.06212879717350006,1.0,0.9200000698205884,-0.48175328969955444,0.8763068914413452,0.48175302147865295,-0.8763070702552795,0.30000001192092896,0.0,0.0
14.94,0.04970440218620905,-0.0026955871569455544,0.10227227956056595,-0.13862833380699158,0.8219825029373169,0.05134519562125206,0.06316633522510529,1.0,0.9399996226884935,-0.3681267499923706,0.929775595664978,0.36812645196914673,-0.9297757744789124,0.30000001192092896,0.0,0.0
14.96,0.051686613791501045,-0.005035700044865726,0.09747117012739182,-0.10593317449092865,0.8220001459121704,0.05252108350396156,0.06429336965084076,1.0,0.9600000872070946,-0.24868935346603394,0.9685832858085632,0.24868904054164886,-0.9685834050178528,0.30000001192092896,0.0,0.0
14.98,0.0541520351706419,-0.006782104860239366,0.14212657511234283,-0.08144984394311905,0.8219214081764221,0.053730737417936325,0.0652233362197876,1.0,0.9799995648926971,-0.1253359466791153,0.9921143651008606,0.12533609569072723,-0.9921143651008606,0.30000001192092896,0.0,0.0
15.0,0.05773020015462352,-0.008140063183638378,0.2001032680273056,-0.06746125966310501,0.8217691779136658,0.05479170009493828,0.0656852275133133,1.0,0.0,0.0,1.0,-8.742277657347586e-08,-1.0,0.30000001192092896,0.0,0.0
15.02,0.06247202921572605,-0.009251869480611111,0.25580132007598877,-0.05752673000097275,0.8215821981430054,0.055620934814214706,0.06563559919595718,1.0,0.019999505564530173,0.1253301501274109,0.9921150803565979,-0.12533029913902283,-0.9921150803565979,0.30000001192092896,0.0,0.0
15.040000000000001,0.06823118165204965,-0.010105995176469961,0.30229219794273376,-0.04549480602145195,0.8214552402496338,0.056239187717437744,0.0651845782995224,1.0,0.03999996339086727,0.248689666390419,0.9685832262039185,-0.24868984520435333,-0.9685831665992737,0.30000001192092896,0.0,0.0
