time_s,left_target_force_x_n,left_target_force_y_n,left_target_force_z_n,left_actual_force_x_n,left_actual_force_y_n,left_actual_force_z_n,right_target_force_x_n,right_target_force_y_n,right_target_force_z_n,right_actual_force_x_n,right_actual_force_y_n,right_actual_force_z_n
9.66,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.21301889419555664,0.0,0.0,-0.24525000154972076,0.0,0.0,0.5621466636657715
9.68,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.22120781242847443,0.0,0.0,-0.24525000154972076,0.0,0.0,0.5545780062675476
9.700000000000001,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.20854239165782928,0.0,0.0,-0.24525000154972076,0.0,0.0,0.4699009656906128
9.72,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.12026821076869965,0.0,0.0,-0.24525000154972076,0.0,0.0,0.44476011395454407
9.74,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.1413504183292389,0.0,0.0,-0.24525000154972076,0.0,0.0,0.26024240255355835
9.76,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.16850386559963226,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.0030761510133743286
9.78,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.16375350952148438,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.15380223095417023
9.8,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.16713225841522217,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.40315958857536316
9.82,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.08198370039463043,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.5618767142295837
9.84,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.08310498297214508,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.6766400933265686
9.86,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.11190507560968399,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.9519309401512146
9.88,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.22286050021648407,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.279194951057434
9.9,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2517869174480438,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.5778977870941162
9.92,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2213895320892334,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.7747340202331543
9.94,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.21460038423538208,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.8597098588943481
9.96,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.17937374114990234,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.7358856201171875
9.98,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.16881825029850006,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.3887903690338135
10.0,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.14264193177223206,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.9122737646102905
10.02,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.1561179906129837,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.4579594135284424
10.040000000000001,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.16962450742721558,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.1706780046224594
10.06,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.20564690232276917,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.018972694873809814
10.08,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2051243633031845,0.0,0.0,-0.24525000154972076,0.0,0.0,0.02556879073381424
10.1,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.21298037469387054,0.0,0.0,-0.24525000154972076,0.0,0.0,0.042647358030080795
10.120000000000001,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.20951825380325317,0.0,0.0,-0.24525000154972076,0.0,0.0,0.0836385041475296
10.14,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.19982220232486725,0.0,0.0,-0.24525000154972076,0.0,0.0,0.11455534398555756
10.16,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.22872714698314667,0.0,0.0,-0.24525000154972076,0.0,0.0,0.1555810123682022
10.18,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.18149466812610626,0.0,0.0,-0.24525000154972076,0.0,0.0,0.26525887846946716
10.200000000000001,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.24860747158527374,0.0,0.0,-0.24525000154972076,0.0,0.0,0.23813769221305847
10.22,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2497304081916809,0.0,0.0,-0.24525000154972076,0.0,0.0,0.3917115032672882
10.24,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2785947322845459,0.0,0.0,-0.24525000154972076,0.0,0.0,0.5885078310966492
10.26,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.259181946516037,0.0,0.0,-0.24525000154972076,0.0,0.0,0.6492387652397156
10.28,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.23909065127372742,0.0,0.0,-0.24525000154972076,0.0,0.0,0.6383070945739746
10.3,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.24352094531059265,0.0,0.0,-0.24525000154972076,0.0,0.0,0.4484756588935852
10.32,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.25062793493270874,0.0,0.0,-0.24525000154972076,0.0,0.0,0.30712923407554626
10.34,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.22818240523338318,0.0,0.0,-0.24525000154972076,0.0,0.0,0.1758703589439392
10.36,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.25609442591667175,0.0,0.0,-0.24525000154972076,0.0,0.0,0.045514389872550964
10.38,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.26239413022994995,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.05344942957162857
10.4,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.27425408363342285,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.08147311210632324
10.42,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.25504669547080994,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.11877863109111786
10.44,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2659684419631958,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.13875214755535126
10.46,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.267570436000824,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.14223581552505493
10.48,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.27716439962387085,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.12447954714298248
10.5,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2763805687427521,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.09785066545009613
