time_s,left_target_linear_velocity_x_mps,left_target_linear_velocity_y_mps,left_target_linear_velocity_z_mps,left_actual_linear_velocity_x_mps,left_actual_linear_velocity_y_mps,left_actual_linear_velocity_z_mps,right_target_linear_velocity_x_mps,right_target_linear_velocity_y_mps,right_target_linear_velocity_z_mps,right_actual_linear_velocity_x_mps,right_actual_linear_velocity_y_mps,right_actual_linear_velocity_z_mps
0.42,0.30000001192092896,1.3967443202034246e-08,0.0,0.3597719669342041,0.24828772246837616,-0.04354718327522278,0.30000001192092896,1.3967443202034246e-08,0.0,0.20904281735420227,0.0009353877976536751,-0.03412803262472153
0.44,0.30000001192092896,1.3967443202034246e-08,0.0,0.32449662685394287,0.30448856949806213,-0.028393222019076347,0.30000001192092896,1.3967443202034246e-08,0.0,0.22209317982196808,0.05608401447534561,-0.021296456456184387
0.46,0.30000001192092896,1.3967443202034246e-08,0.0,0.3051178753376007,0.35194408893585205,-0.0029503144323825836,0.30000001192092896,1.3967443202034246e-08,0.0,0.23952168226242065,0.13993054628372192,0.002238363027572632
0.48,0.30000001192092896,1.3967443202034246e-08,0.0,0.29974937438964844,0.3646724224090576,0.010509271174669266,0.30000001192092896,1.3967443202034246e-08,0.0,0.26930686831474304,0.22215625643730164,0.002349965274333954
0.5,0.30000001192092896,1.3967443202034246e-08,0.0,0.3006818890571594,0.3236443102359772,0.006003588438034058,0.30000001192092896,1.3967443202034246e-08,0.0,0.31090644001960754,0.2767978608608246,-0.01646421104669571
0.52,0.30000001192092896,1.3967443202034246e-08,0.0,0.30185163021087646,0.24484600126743317,-0.0019490215927362442,0.30000001192092896,1.3967443202034246e-08,0.0,0.360469788312912,0.3179352879524231,-0.020962584763765335
0.54,0.30000001192092896,1.3967443202034246e-08,0.0,0.29858994483947754,0.15387141704559326,0.0056366752833127975,0.30000001192092896,1.3967443202034246e-08,0.0,0.41762882471084595,0.35231900215148926,-0.014758273959159851
0.56,0.30000001192092896,1.3967443202034246e-08,0.0,0.29764288663864136,0.06348704546689987,0.0021292567253112793,0.30000001192092896,1.3967443202034246e-08,0.0,0.4809251129627228,0.3728402256965637,-0.011512354016304016
0.58,0.30000001192092896,1.3967443202034246e-08,0.0,0.30077674984931946,-0.0041227638721466064,-0.01802092231810093,0.30000001192092896,1.3967443202034246e-08,0.0,0.5420801043510437,0.3888064920902252,-0.0038190484046936035
0.6,0.30000001192092896,1.3967443202034246e-08,0.0,0.29873788356781006,-0.038490988314151764,-0.036006860435009,0.30000001192092896,1.3967443202034246e-08,0.0,0.5753315687179565,0.41093868017196655,0.00633389875292778
0.62,0.30000001192092896,1.3967443202034246e-08,0.0,0.2802719175815582,-0.056760359555482864,-0.09969384968280792,0.30000001192092896,1.3967443202034246e-08,0.0,0.5417886972427368,0.46848171949386597,-0.004833078011870384
0.64,0.30000001192092896,1.3967443202034246e-08,0.0,0.29064881801605225,-0.10980512946844101,-0.1593867540359497,0.30000001192092896,1.3967443202034246e-08,0.0,0.5145882964134216,0.4353688955307007,0.04755265638232231
0.66,0.30000001192092896,1.3967443202034246e-08,0.0,0.3230287432670593,-0.1457381695508957,-0.12559576332569122,0.30000001192092896,1.3967443202034246e-08,0.0,0.48067963123321533,0.3574358820915222,0.07516510039567947
0.68,0.30000001192092896,1.3967443202034246e-08,0.0,0.3887336552143097,-0.1256590485572815,-0.07382293790578842,0.30000001192092896,1.3967443202034246e-08,0.0,0.4527575671672821,0.3156689405441284,0.1084233820438385
0.7000000000000001,0.30000001192092896,1.3967443202034246e-08,0.0,0.43430984020233154,-0.07679516822099686,-0.01795480214059353,0.30000001192092896,1.3967443202034246e-08,0.0,0.42475709319114685,0.2884382903575897,0.09447600692510605
0.72,0.30000001192092896,1.3967443202034246e-08,0.0,0.44397807121276855,-0.002085247542709112,0.005779217928647995,0.30000001192092896,1.3967443202034246e-08,0.0,0.38614049553871155,0.2418740689754486,0.05310967564582825
0.74,0.30000001192092896,1.3967443202034246e-08,0.0,0.4199157655239105,0.09648586809635162,0.026698216795921326,0.30000001192092896,1.3967443202034246e-08,0.0,0.32527393102645874,0.17943894863128662,-0.0036297887563705444
0.76,0.30000001192092896,1.3967443202034246e-08,0.0,0.3900369107723236,0.16595451533794403,0.06055627390742302,0.30000001192092896,1.3967443202034246e-08,0.0,0.30230841040611267,0.0662236213684082,-0.027900412678718567
0.78,0.30000001192092896,1.3967443202034246e-08,0.0,0.3515152931213379,0.2131337821483612,0.12479759752750397,0.30000001192092896,1.3967443202034246e-08,0.0,0.26355481147766113,-0.07006148993968964,-0.024931151419878006
0.8,0.30000001192092896,1.3967443202034246e-08,0.0,0.33778810501098633,0.20619218051433563,0.1240626871585846,0.30000001192092896,1.3967443202034246e-08,0.0,0.2440837025642395,-0.1783701479434967,-0.02003001794219017
0.8200000000000001,0.30000001192092896,1.3967443202034246e-08,0.0,0.3265603482723236,0.12381395697593689,0.09995544701814651,0.30000001192092896,1.3967443202034246e-08,0.0,0.2397213578224182,-0.24929691851139069,-0.03764158859848976
0.84,0.30000001192092896,1.3967443202034246e-08,0.0,0.3182244896888733,0.0362914614379406,0.06136109307408333,0.30000001192092896,1.3967443202034246e-08,0.0,0.2522384822368622,-0.26369622349739075,-0.04011765867471695
0.86,0.30000001192092896,1.3967443202034246e-08,0.0,0.3013417720794678,-0.05893482640385628,0.029217466711997986,0.30000001192092896,1.3967443202034246e-08,0.0,0.26652950048446655,-0.26152876019477844,-0.009650096297264099
0.88,0.30000001192092896,1.3967443202034246e-08,0.0,0.2776896357536316,-0.1466861367225647,0.023172032088041306,0.30000001192092896,1.3967443202034246e-08,0.0,0.2784225642681122,-0.24668164551258087,0.01173333078622818
0.9,0.30000001192092896,1.3967443202034246e-08,0.0,0.2607446014881134,-0.2015009969472885,0.02118281088769436,0.30000001192092896,1.3967443202034246e-08,0.0,0.2868260443210602,-0.20737887918949127,0.015357989817857742
0.92,0.30000001192092896,1.3967443202034246e-08,0.0,0.2556414008140564,-0.22694048285484314,0.013459954410791397,0.30000001192092896,1.3967443202034246e-08,0.0,0.2926916182041168,-0.1632765233516693,0.0033798478543758392
0.9400000000000001,0.30000001192092896,1.3967443202034246e-08,0.0,0.2673513889312744,-0.22745653986930847,-0.0017115883529186249,0.30000001192092896,1.3967443202034246e-08,0.0,0.3046797215938568,-0.1047542542219162,-0.010683484375476837
0.96,0.30000001192092896,1.3967443202034246e-08,0.0,0.29173222184181213,-0.21684712171554565,-0.01642882078886032,0.30000001192092896,1.3967443202034246e-08,0.0,0.3258069157600403,-0.047938257455825806,-0.01641463115811348
0.98,0.30000001192092896,1.3967443202034246e-08,0.0,0.32343530654907227,-0.20974738895893097,-0.025475505739450455,0.30000001192092896,1.3967443202034246e-08,0.0,0.35289841890335083,-0.0088823102414608,-0.026770364493131638
1.0,0.30000001192092896,1.3967443202034246e-08,0.0,0.3576975464820862,-0.21183659136295319,-0.02903183363378048,0.30000001192092896,1.3967443202034246e-08,0.0,0.3838765025138855,0.018122568726539612,-0.029641779139637947
1.02,0.30000001192092896,1.3967443202034246e-08,0.0,0.39138609170913696,-0.21583175659179688,-0.03360395506024361,0.30000001192092896,1.3967443202034246e-08,0.0,0.41492795944213867,0.034872040152549744,-0.02358810417354107
1.04,0.30000001192092896,1.3967443202034246e-08,0.0,0.42081907391548157,-0.20438101887702942,-0.042741309851408005,0.30000001192092896,1.3967443202034246e-08,0.0,0.44060736894607544,0.0344931036233902,-0.020000874996185303
1.06,0.30000001192092896,1.3967443202034246e-08,0.0,0.4451216161251068,-0.17066967487335205,-0.05596040189266205,0.30000001192092896,1.3967443202034246e-08,0.0,0.46155431866645813,0.011343620717525482,-0.01697726920247078
