time_s,left_target_angular_velocity_x_radps,left_target_angular_velocity_y_radps,left_target_angular_velocity_z_radps,left_actual_angular_velocity_x_radps,left_actual_angular_velocity_y_radps,left_actual_angular_velocity_z_radps,right_target_angular_velocity_x_radps,right_target_angular_velocity_y_radps,right_target_angular_velocity_z_radps,right_actual_angular_velocity_x_radps,right_actual_angular_velocity_y_radps,right_actual_angular_velocity_z_radps
9.42,0.0,0.0,0.0,-0.21539756655693054,0.011454038321971893,-0.1012810692191124,0.0,0.0,0.0,-0.05307871475815773,-0.2731983959674835,-0.4743013381958008
9.44,0.0,0.0,0.0,-0.038020454347133636,0.009386932477355003,-0.16703060269355774,0.0,0.0,0.0,-0.009771443903446198,-0.2771770656108856,-0.4328974485397339
9.46,0.0,0.0,0.0,0.011681032367050648,-0.015674080699682236,-0.2234320491552353,0.0,0.0,0.0,0.07843084633350372,-0.25622764229774475,-0.35559195280075073
9.48,0.0,0.0,0.0,-0.02902686968445778,-0.06609264761209488,-0.17627884447574615,0.0,0.0,0.0,0.176515594124794,-0.2462904155254364,-0.27074727416038513
9.5,0.0,0.0,0.0,0.057633981108665466,-0.06937028467655182,-0.15129923820495605,0.0,0.0,0.0,0.12152809649705887,-0.24838386476039886,-0.16217204928398132
9.52,0.0,0.0,0.0,0.0010485483799129725,-0.08116179704666138,-0.08438188582658768,0.0,0.0,0.0,0.11644665151834488,-0.2103852778673172,-0.054758936166763306
9.540000000000001,0.0,0.0,0.0,-0.10270438343286514,-0.10007647424936295,-0.009307756088674068,0.0,0.0,0.0,0.125109001994133,-0.1641930788755417,0.04659464955329895
9.56,0.0,0.0,0.0,-0.08080927282571793,-0.09212016314268112,-0.0006077265134081244,0.0,0.0,0.0,0.05599198862910271,-0.12082381546497345,0.12385483086109161
9.58,0.0,0.0,0.0,-0.12554633617401123,-0.10154418647289276,-0.01756332814693451,0.0,0.0,0.0,-0.05292249098420143,-0.05108087137341499,0.13727325201034546
9.6,0.0,0.0,0.0,-0.2059241086244583,-0.13103698194026947,-0.058629509061574936,0.0,0.0,0.0,-0.15550947189331055,0.038846563547849655,0.08618110418319702
9.620000000000001,0.0,0.0,0.0,-0.251845121383667,-0.1618562787771225,-0.1419512778520584,0.0,0.0,0.0,-0.24673567712306976,0.13199424743652344,-0.007658196147531271
9.64,0.0,0.0,0.0,-0.2640615403652191,-0.1848619282245636,-0.27712714672088623,0.0,0.0,0.0,-0.313724160194397,0.23583172261714935,-0.13890759646892548
