time_s,left_pos_error_m,right_pos_error_m,mean_pos_error_m,mean_lin_vel_error_mps,mean_ang_vel_error_radps,mean_rot_error_rad,left_position_error_world_x_m,left_position_error_world_y_m,left_position_error_world_z_m,left_rotation_error_world_x_rad,left_rotation_error_world_y_rad,left_rotation_error_world_z_rad,left_linear_velocity_error_world_x_mps,left_linear_velocity_error_world_y_mps,left_linear_velocity_error_world_z_mps,left_angular_velocity_error_world_x_radps,left_angular_velocity_error_world_y_radps,left_angular_velocity_error_world_z_radps,right_position_error_world_x_m,right_position_error_world_y_m,right_position_error_world_z_m,right_rotation_error_world_x_rad,right_rotation_error_world_y_rad,right_rotation_error_world_z_rad,right_linear_velocity_error_world_x_mps,right_linear_velocity_error_world_y_mps,right_linear_velocity_error_world_z_mps,right_angular_velocity_error_world_x_radps,right_angular_velocity_error_world_y_radps,right_angular_velocity_error_world_z_radps
8.68,0.032954659312963486,0.031140578910708427,0.03204761818051338,0.02717781439423561,0.7304631471633911,0.10833070195218458,0.027496814727783203,-0.01816144585609436,-0.0003127455711364746,-0.02136068039071295,-0.038885493350087084,0.000986770623719187,-0.0339454710483551,-0.0018884176388382912,-0.0013557979837059975,0.02369769662618637,0.19091401994228363,0.7127564549446106,0.029736757278442383,-0.009208858013153076,0.0008106827735900879,-0.10552090887696126,0.05821361798793254,-0.1231191189720969,0.01758134365081787,-0.00842550490051508,-0.005765637382864952,0.2849620282649994,-0.4513010084629059,0.4872032105922699
8.700000000000001,0.03242389112710953,0.031291861087083817,0.03185787796974182,0.020565040409564972,0.9941972494125366,0.1029193250647117,0.026944398880004883,-0.018033593893051147,-0.0003116130828857422,-0.027258531504964646,-0.03609886977634746,0.018454301952893024,-0.022127807140350342,0.010263181291520596,0.002083360683172941,-0.47787344455718994,0.1022242084145546,1.005199670791626,0.02983236312866211,-0.009419858455657959,0.0006906986236572266,-0.10070814402351094,0.04781170192186814,-0.11052602054014256,0.003233581781387329,-0.011314370669424534,-0.01177816092967987,0.12712447345256805,-0.5172048211097717,0.688809335231781
8.72,0.03204734995961189,0.03152298554778099,0.03178516775369644,0.02427322417497635,1.3063716888427734,0.10545804995285699,0.026767492294311523,-0.017620503902435303,-0.0002244710922241211,-0.042798118077469034,-0.03469788267599225,0.04176016352617826,-0.004299253225326538,0.03014145977795124,0.008504299446940422,-0.9300432801246643,0.03474198281764984,1.3050777912139893,0.02996969223022461,-0.009753301739692688,0.0006243586540222168,-0.09899491584950616,0.034213901001546185,-0.09555911347054609,0.005897194147109985,-0.013985962606966496,-0.007509581744670868,0.10768725723028183,-0.7069060206413269,0.7130153775215149
8.74,0.031842708587646484,0.03172115981578827,0.03178193420171738,0.030071396380662918,1.2547687292099,0.11085110928545718,0.026911258697509766,-0.017020106315612793,-0.00023949146270751953,-0.05702322243136995,-0.03366212315200619,0.06714350088978006,0.016347795724868774,0.033230267465114594,0.0009109145030379295,-0.6389108896255493,0.026404734700918198,1.2770806550979614,0.030164718627929688,-0.009806066751480103,0.0004025697708129883,-0.0971939864518537,0.019388578394590253,-0.08005000344776629,0.014075934886932373,0.006732597015798092,-0.01703082025051117,0.04911121726036072,-0.7527713179588318,0.7746937274932861
8.76,0.031933363527059555,0.032060716301202774,0.031997039914131165,0.04229167848825455,1.181410789489746,0.11423345702791231,0.027368783950805664,-0.01645056903362274,-0.0002601146697998047,-0.06652245172357359,-0.03327692394805605,0.09025794151793205,0.026697218418121338,0.02760974131524563,0.0013678600080311298,-0.38942110538482666,-0.012799552641808987,1.108525276184082,0.030630826950073242,-0.009467825293540955,4.3392181396484375e-05,-0.0920930592460784,0.003399152705052457,-0.0627819171368812,0.029170870780944824,0.024496441707015038,-0.02605881541967392,0.25723767280578613,-0.7583814859390259,0.8772632479667664
8.78,0.032248467206954956,0.03304006904363632,0.03264426812529564,0.05513589829206467,1.0925416946411133,0.11664136244988586,0.028013944625854492,-0.015972644090652466,-0.0002421736717224121,-0.07360698453302397,-0.03336606910435725,0.10944251345064382,0.03567701578140259,0.02422177791595459,0.004155948758125305,-0.2998403310775757,-0.04414433613419533,0.8922614455223083,0.03165006637573242,-0.009480521082878113,-0.000202178955078125,-0.08409802494944355,-0.014727048841840106,-0.046532906061871736,0.06319761276245117,-0.019707700237631798,-0.009995587170124054,0.4607697129249573,-0.9406611323356628,0.6687949299812317
8.8,0.03254900127649307,0.034563854336738586,0.03355642780661583,0.05422263965010643,0.8511127233505249,0.12169390334760578,0.028607606887817383,-0.015523746609687805,-0.00023555755615234375,-0.07546017014469082,-0.033392935822448025,0.12530121330076696,0.02239927649497986,0.021006815135478973,-0.0003900625160895288,-0.0005703288479708135,-0.013593445532023907,0.7199452519416809,0.0330810546875,-0.010001853108406067,-0.0005178451538085938,-0.08114199104086126,-0.031849577794692864,-0.03342032476978381,0.07096990942955017,-0.021662110462784767,-0.02316553145647049,0.06780257076025009,-0.7602141499519348,0.6181418895721436
8.82,0.03243115916848183,0.036097459495067596,0.03426431119441986,0.05630853772163391,0.9103676080703735,0.12573113904686822,0.02878284454345703,-0.014943569898605347,-0.00013977289199829102,-0.08050762606920438,-0.032934628685386005,0.1375746325333709,-0.002803623676300049,0.03804913908243179,0.007634189911186695,-0.29890456795692444,0.029726654291152954,0.5760555863380432,0.034569740295410156,-0.010360687971115112,-0.0007840394973754883,-0.07103058423783247,-0.048947236359975096,-0.02063558693026304,0.07005569338798523,-0.009352236054837704,-0.020920712500810623,0.6505461931228638,-0.7877001166343689,0.572467029094696
8.84,0.031801432371139526,0.03747250884771347,0.0346369706094265,0.06781604886054993,1.028297781944275,0.12799272041169873,0.02861809730529785,-0.01386803388595581,-0.00011086463928222656,-0.08636765405419314,-0.03132874254806822,0.14586592685652025,-0.009780853986740112,0.06927750259637833,0.0003905082121491432,-0.2076910138130188,0.1014208048582077,0.36393511295318604,0.03589749336242676,-0.010703906416893005,-0.000992417335510254,-0.048058352250701514,-0.06761980725074074,-0.010317308686589343,0.060218438506126404,-0.020917823538184166,-0.015756595879793167,1.298503041267395,-0.9069328308105469,0.36539146304130554
8.86,0.03101392649114132,0.03872409835457802,0.034869011491537094,0.07433398067951202,0.8505234718322754,0.13282164732401447,0.02849888801574707,-0.012233540415763855,-0.00014203786849975586,-0.08920556012367362,-0.029701263999974786,0.14963361736395306,-0.003169029951095581,0.08644665777683258,-0.0037614302709698677,-0.013855673372745514,0.08198487758636475,0.09542235732078552,0.03704333305358887,-0.011204853653907776,-0.0013408064842224121,-0.02141713524463343,-0.08619412414203925,-0.004389619245007104,0.05310879647731781,-0.022978581488132477,-0.02248448133468628,1.2985687255859375,-0.8723104000091553,0.17828238010406494
