time_s,left_target_position_x_m,left_target_position_y_m,left_target_position_z_m,left_actual_position_x_m,left_actual_position_y_m,left_actual_position_z_m,right_target_position_x_m,right_target_position_y_m,right_target_position_z_m,right_actual_position_x_m,right_actual_position_y_m,right_actual_position_z_m
0.48,0.5460872650146484,0.21185705065727234,0.9192401170730591,0.5323188304901123,0.15872088074684143,0.9188434481620789,0.5460859537124634,-0.2118527740240097,0.9192285537719727,0.43842262029647827,-0.3544260263442993,0.9194071292877197
0.5,0.5520873069763184,0.21185705065727234,0.9192401170730591,0.5383169651031494,0.1655518263578415,0.9189837574958801,0.5520859360694885,-0.2118527740240097,0.9192285537719727,0.4443419575691223,-0.3492145836353302,0.9191392660140991
0.52,0.5580872893333435,0.21185705065727234,0.9192401170730591,0.5443494319915771,0.1710737943649292,0.9189755916595459,0.5580859184265137,-0.2118527740240097,0.9192285537719727,0.4511859118938446,-0.3431478440761566,0.9187129139900208
0.54,0.5640872716903687,0.21185706555843353,0.9192401170730591,0.5503605008125305,0.17485955357551575,0.9190098643302917,0.5640859603881836,-0.2118527591228485,0.9192285537719727,0.4591114819049835,-0.3363899886608124,0.9183524250984192
0.56,0.5700873136520386,0.21185706555843353,0.9192401170730591,0.5563299655914307,0.17681293189525604,0.9190908074378967,0.5700859427452087,-0.2118527591228485,0.9192285537719727,0.4682580828666687,-0.3291497826576233,0.9181111454963684
0.58,0.5760872960090637,0.21185706555843353,0.9192401170730591,0.5623376965522766,0.17723500728607178,0.9189542531967163,0.5760859251022339,-0.2118527591228485,0.9192285537719727,0.47866857051849365,-0.32159510254859924,0.9179891347885132
0.6,0.5820872783660889,0.21185706555843353,0.9192401170730591,0.5684276819229126,0.17670246958732605,0.9184949398040771,0.5820859670639038,-0.2118527591228485,0.9192285537719727,0.49016645550727844,-0.3136671781539917,0.9180738925933838
0.62,0.5880873203277588,0.21185706555843353,0.9192401170730591,0.5741702318191528,0.17585712671279907,0.9171061515808105,0.588085949420929,-0.2118527591228485,0.9192285537719727,0.5012354254722595,-0.30475661158561707,0.9179434180259705
0.64,0.5940873026847839,0.21185706555843353,0.9192401170730591,0.5799307227134705,0.17417128384113312,0.9144790172576904,0.5940859317779541,-0.2118527591228485,0.9192285537719727,0.5117787718772888,-0.29568052291870117,0.9183619022369385
0.66,0.6000872850418091,0.21185706555843353,0.9192401170730591,0.5861537456512451,0.17152340710163116,0.9116446375846863,0.6000859141349792,-0.2118527591228485,0.9192285537719727,0.5217018723487854,-0.28793954849243164,0.9195640087127686
0.68,0.606087327003479,0.21185706555843353,0.9192401170730591,0.5934149622917175,0.16876399517059326,0.9097952842712402,0.6060858964920044,-0.2118527591228485,0.9192285537719727,0.5310110449790955,-0.28134095668792725,0.9213359951972961
0.7000000000000001,0.6120873093605042,0.21185706555843353,0.9192401170730591,0.6018088459968567,0.1667504906654358,0.9090172052383423,0.6120859384536743,-0.2118527591228485,0.9192285537719727,0.5397650599479675,-0.2752891480922699,0.9232180118560791
0.72,0.6180872917175293,0.21185706555843353,0.9192401170730591,0.6106840968132019,0.16606682538986206,0.9090198874473572,0.6180859208106995,-0.2118527591228485,0.9192285537719727,0.5478189587593079,-0.27002274990081787,0.924484372138977
0.74,0.6240873336791992,0.21185706555843353,0.9192401170730591,0.6193420886993408,0.16726522147655487,0.9094825983047485,0.6240859031677246,-0.2118527591228485,0.9192285537719727,0.5547851920127869,-0.26584017276763916,0.9247065186500549
0.76,0.6300873160362244,0.21185706555843353,0.9192401170730591,0.6273812055587769,0.17021949589252472,0.9104335308074951,0.6300859451293945,-0.2118527591228485,0.9192285537719727,0.5608024001121521,-0.2634164094924927,0.9241787791252136
0.78,0.6360872983932495,0.21185706555843353,0.9192401170730591,0.6346830725669861,0.17424842715263367,0.9124557375907898,0.6360859274864197,-0.2118527591228485,0.9192285537719727,0.5661823153495789,-0.2636546194553375,0.923485279083252
0.8,0.6420872807502747,0.21185706555843353,0.9192401170730591,0.6414800882339478,0.17851001024246216,0.9148891568183899,0.6420859098434448,-0.2118527591228485,0.9192285537719727,0.5710857510566711,-0.2663756012916565,0.9230148792266846
0.8200000000000001,0.6480873227119446,0.21185706555843353,0.9192401170730591,0.6480867862701416,0.18170973658561707,0.9170470833778381,0.6480859518051147,-0.2118527591228485,0.9192285537719727,0.5758349299430847,-0.2708819806575775,0.9223276376724243
0.84,0.6540873050689697,0.21185706555843353,0.9192401170730591,0.6545068621635437,0.18309801816940308,0.9186006188392639,0.6540859341621399,-0.2118527591228485,0.9192285537719727,0.5807573199272156,-0.27609822154045105,0.9215251803398132
0.86,0.6600872874259949,0.21185706555843353,0.9192401170730591,0.660659670829773,0.18262483179569244,0.9194254279136658,0.660085916519165,-0.2118527591228485,0.9192285537719727,0.5859858393669128,-0.2813248634338379,0.9211434721946716
0.88,0.66608726978302,0.21185706555843353,0.9192401170730591,0.6663859486579895,0.18029621243476868,0.9199420213699341,0.666085958480835,-0.2118527591228485,0.9192285537719727,0.5914785265922546,-0.2863757610321045,0.9212702512741089
0.9,0.6720873117446899,0.21185706555843353,0.9192401170730591,0.6717124581336975,0.17656484246253967,0.920430064201355,0.6720859408378601,-0.2118527591228485,0.9192285537719727,0.5971806049346924,-0.29080531001091003,0.9216233491897583
0.92,0.6780872941017151,0.21185706555843353,0.9192401170730591,0.6768455505371094,0.17207828164100647,0.9207867980003357,0.6780859231948853,-0.2118527591228485,0.9192285537719727,0.6030168533325195,-0.294382244348526,0.9218323826789856
0.9400000000000001,0.6840872764587402,0.21185706555843353,0.9192401170730591,0.6820879578590393,0.1674140989780426,0.9208866357803345,0.6840859651565552,-0.2118527591228485,0.9192285537719727,0.6090480089187622,-0.29688677191734314,0.9217780828475952
0.96,0.6900873184204102,0.21185706555843353,0.9192401170730591,0.6877379417419434,0.16293352842330933,0.9206814765930176,0.6900858879089355,-0.2118527591228485,0.9192285537719727,0.6154366731643677,-0.29822054505348206,0.9215547442436218
0.98,0.6960873007774353,0.21185706555843353,0.9192401170730591,0.6939722895622253,0.15864956378936768,0.9202542304992676,0.6960859298706055,-0.2118527591228485,0.9192285537719727,0.6223270297050476,-0.29863741993904114,0.9211668372154236
1.0,0.7020872831344604,0.21185706555843353,0.9192401170730591,0.7008729577064514,0.1544054001569748,0.919725239276886,0.7020859718322754,-0.2118527591228485,0.9192285537719727,0.6298202276229858,-0.2984146475791931,0.9206715822219849
1.02,0.7080873250961304,0.21185706555843353,0.9192401170730591,0.7084505558013916,0.15010356903076172,0.9191274642944336,0.7080858945846558,-0.2118527591228485,0.9192285537719727,0.6379420161247253,-0.2977617383003235,0.9202412962913513
1.04,0.7140873074531555,0.21185706555843353,0.9192401170730591,0.716649055480957,0.14591822028160095,0.9184055328369141,0.7140859365463257,-0.2118527591228485,0.9192285537719727,0.6466208100318909,-0.2969718873500824,0.9199139475822449
1.06,0.7200872898101807,0.21185706555843353,0.9192401170730591,0.7253642678260803,0.14222636818885803,0.9174636602401733,0.7200859189033508,-0.2118527591228485,0.9192285537719727,0.6557520627975464,-0.29645511507987976,0.919661819934845
1.08,0.7260873317718506,0.21185706555843353,0.9192401170730591,0.7345219850540161,0.13944019377231598,0.9162775874137878,0.726085901260376,-0.2118527591228485,0.9192285537719727,0.6652871966362,-0.2968045473098755,0.9194645881652832
1.1,0.7320873141288757,0.21185706555843353,0.9192401170730591,0.7441333532333374,0.13769733905792236,0.9149336814880371,0.7320859432220459,-0.2118527591228485,0.9192285537719727,0.6753832101821899,-0.29863741993904114,0.9194137454032898
