t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,Fx,Fy,Fz,taux,tauy,tauz
0.305,0.0915,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.31,0.093,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.315,0.0945,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.32,0.096,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.325,0.0975,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.33,0.099,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.335,0.1005,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.34,0.102,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.34500000000000003,0.1035,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.35000000000000003,0.105,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.355,0.1065,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.36,0.108,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.365,0.1095,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.37,0.111,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.375,0.1125,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.38,0.114,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.385,0.1155,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.39,0.117,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.395,0.1185,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.4,0.12,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.405,0.1215,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.41000000000000003,0.123,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.41500000000000004,0.1245,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.42,0.126,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.425,0.1275,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.43,0.129,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.435,0.1305,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.44,0.132,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.445,0.1335,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.45,0.135,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.455,0.1365,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.46,0.138,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.465,0.1395,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.47000000000000003,0.141,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.47500000000000003,0.1425,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.48,0.144,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.485,0.1455,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.49,0.147,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.495,0.1485,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.5,0.15,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.505,0.1515,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.51,0.153,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.515,0.1545,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.52,0.156,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.525,0.1575,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.53,0.159,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
