t,left_x,left_y,left_z,left_qw,left_qx,left_qy,left_qz,left_vx,left_vy,left_vz,left_wx,left_wy,left_wz,left_Fx,left_Fy,left_Fz,left_Mx,left_My,left_Mz,right_x,right_y,right_z,right_qw,right_qx,right_qy,right_qz,right_vx,right_vy,right_vz,right_wx,right_wy,right_wz,right_Fx,right_Fy,right_Fz,right_Mx,right_My,right_Mz
0.125,0.115,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.87738825296783e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.115,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.0818273756176e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.13,0.116,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.87738825296783e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.116,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.0818273756176e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.135,0.117,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.87738825296783e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.117,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.0818273756176e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.14,0.118,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.87738825296783e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.118,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.0818273756176e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.145,0.119,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.01616613104598e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.119,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.22060525369575e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.15,0.12,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.01616613104598e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.12,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.22060525369575e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.155,0.121,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.01616613104598e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.121,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.22060525369575e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.16,0.122,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.01616613104598e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.122,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.22060525369575e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.165,0.123,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.01616613104598e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.123,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.22060525369575e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.17,0.124,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.01616613104598e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.124,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.22060525369575e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.175,0.125,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.01616613104598e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.125,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.22060525369575e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.18,0.126,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.15494400912412e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.126,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.35938313177389e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.185,0.127,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.15494400912412e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.127,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.35938313177389e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.19,0.128,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.01616613104598e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.128,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.22060525369575e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.195,0.129,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.01616613104598e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.129,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.22060525369575e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.2,0.13,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.01616613104598e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.13,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.22060525369575e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.205,0.131,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.01616613104598e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.131,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.22060525369575e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.21,0.132,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.15494400912412e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.132,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.35938313177389e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.215,0.133,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.15494400912412e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.133,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.35938313177389e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
