step,time_s,command_vx,actual_vx,actual_vy,speed_error_xy,vx_error,vy_error,hand_pos_error,torso_ang_vel_xy,pelvis_ang_vel_xy,action_rate,done,timeout,terminated
15,0.3,0.30000001192092896,0.3021484911441803,0.0023685647174715996,0.0031978213228285313,0.0021484792232513428,0.0023685647174715996,0.0147860087454319,0.33519262075424194,0.5702561140060425,1.3653337955474854,0,0,0
16,0.32,0.30000001192092896,0.3087851107120514,0.004357737489044666,0.00980652030557394,0.008785098791122437,0.004357737489044666,0.015264363959431648,0.24457195401191711,0.4811766445636749,1.1790521144866943,0,0,0
17,0.34,0.30000001192092896,0.3112986981868744,0.006652376614511013,0.013111614622175694,0.011298686265945435,0.006652376614511013,0.01594749093055725,0.20055295526981354,0.33064356446266174,1.0902950763702393,0,0,0
18,0.36,0.30000001192092896,0.309402197599411,0.01543600857257843,0.018074054270982742,0.009402185678482056,0.01543600857257843,0.015885163098573685,0.2139008790254593,0.259126752614975,0.7230647206306458,0,0,0
19,0.38,0.30000001192092896,0.30582737922668457,0.021062437444925308,0.021853705868124962,0.005827367305755615,0.021062437444925308,0.01479413639754057,0.29451876878738403,0.19989921152591705,0.7727168202400208,0,0,0
20,0.4,0.30000001192092896,0.3090860843658447,0.030027616769075394,0.03137219324707985,0.009086072444915771,0.030027616769075394,0.013310111127793789,0.33402472734451294,0.14609448611736298,0.5901609063148499,0,0,0
21,0.42,0.30000001192092896,0.30667275190353394,0.03983447700738907,0.040389493107795715,0.0066727399826049805,0.03983447700738907,0.011549927294254303,0.32735830545425415,0.06603655964136124,0.8063230514526367,0,0,0
22,0.44,0.30000001192092896,0.30084744095802307,0.04647202044725418,0.04647974297404289,0.0008474290370941162,0.04647202044725418,0.009922554716467857,0.3685816526412964,0.040330685675144196,0.6518603563308716,0,0,0
23,0.46,0.30000001192092896,0.31219255924224854,0.042657703161239624,0.04436595365405083,0.01219254732131958,0.042657703161239624,0.00828116200864315,0.35969915986061096,0.05078935995697975,0.5589948892593384,0,0,0
24,0.48,0.30000001192092896,0.32159650325775146,0.03416422754526138,0.040417853742837906,0.02159649133682251,0.03416422754526138,0.006923958659172058,0.3748762011528015,0.03740355744957924,0.43033915758132935,0,0,0
25,0.5,0.30000001192092896,0.3165580928325653,0.02781493589282036,0.03237036615610123,0.016558080911636353,0.02781493589282036,0.006078972015529871,0.4500875174999237,0.06422225385904312,0.4824157953262329,0,0,0
26,0.52,0.30000001192092896,0.31767287850379944,0.030627017840743065,0.03536020964384079,0.017672866582870483,0.030627017840743065,0.005610169842839241,0.5032660365104675,0.0769251137971878,0.44754308462142944,0,0,0
27,0.54,0.30000001192092896,0.3246726095676422,0.03368465602397919,0.04175395891070366,0.024672597646713257,0.03368465602397919,0.005305047146975994,0.5476250648498535,0.07519464939832687,0.33543407917022705,0,0,0
28,0.56,0.30000001192092896,0.3247981071472168,0.03140491992235184,0.04001517966389656,0.024798095226287842,0.03140491992235184,0.005316297523677349,0.6164135336875916,0.11200450360774994,0.5047548413276672,0,0,0
29,0.58,0.30000001192092896,0.3234640061855316,0.029282618314027786,0.03752373531460762,0.02346399426460266,0.029282618314027786,0.005543536972254515,0.7062620520591736,0.1637241244316101,0.6397469639778137,0,0,0
30,0.6,0.30000001192092896,0.3239160478115082,0.029707232490181923,0.03813786059617996,0.023916035890579224,0.029707232490181923,0.005368577316403389,0.7637568116188049,0.2441961020231247,0.5872840881347656,0,0,0
31,0.62,0.30000001192092896,0.329917311668396,0.03210209310054779,0.04388153553009033,0.02991729974746704,0.03210209310054779,0.004885404370725155,0.7709916234016418,0.4169410765171051,0.7023999094963074,0,0,0
32,0.64,0.30000001192092896,0.3264572322368622,0.036097582429647446,0.044755108654499054,0.026457220315933228,0.036097582429647446,0.005127493292093277,0.7128110527992249,0.6725836396217346,0.9424471855163574,0,0,0
33,0.66,0.30000001192092896,0.31361791491508484,0.04264276474714279,0.04476441442966461,0.013617902994155884,0.04264276474714279,0.005013059824705124,1.0250164270401,0.19177967309951782,1.1933773756027222,0,0,0
34,0.68,0.30000001192092896,0.32811376452445984,0.016010934486985207,0.03235325589776039,0.028113752603530884,0.016010934486985207,0.00576648348942399,1.051128625869751,0.10847858339548111,1.1696367263793945,0,0,0
